Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1958   4   55  55  55  55  54   0   0   0   0
1959   4   50  50  51  52  53   0   0   0   0
1960   4   47  47  46  46  46   0   0   0   0
1961   4  999 999 999 999 999   0   0   0   0
1962   4  999 999 999 999 999   0   0   0   0
1964   4  999 999 999 999 999   0   0   0   0
1965   4  999 999 999 999 999   0   0   0   0
1966   4  999 999 999 999 999   0   0   0   0
1967   4  999 999 999 999 999   0   0   0   0
1968   4  999 999 999 999 999   0   0   0   0
1969   4  999 999 999 999 999   0   0   0   0
1970   4  999 999 999 999 999   0   0   0   0
1971   4  999 999 999 999 999   0   0   0   0
1972   4  999 999 999 999 999   0   0   0   0
1973   4  999 999 999 999 999   0   0   0   0
1974   4  999 999 999 999 999   0   0   0   0
1975   4  999 999 999 999 999   0   0   0   0
1976   4   50  49  49  47  45   0   0   0   0
1978   4   44  46  48  49  49   0   0   0   0
1979   4   49  51  53  56  59   0   0   0   0
1980   4   58  59  61  62  65   0   0   0   0
1981   4  999 999 999 999 999   0   0   0   0
1982   4  999 999 999 999 999   0   0   0   0
1983   4  999 999 999 999 999   0   0   0   0
1984   4  999 999 999 999 999   0   0   0   0
1985   4  999 999 999 999 999   0   0   0   0
1986   4  999 999 999 999 999   0   0   0   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4   84  83  81  81  82   0   0   0   0
1989   4   76  76  76  75  74   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4  999 999 999 999 999   0   0   0   0
1995   4  999 999 999 999 999   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4   83  83  85  85  85   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4   68  69  69  68  68   0   1   0   0
2018   4  999 999 999 999 999   0   0   0   0
2019   4   73  72  70  69  68   0   0   0   0
