Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1958   4   82  83  83  82  82   0   0   0   0
1959   4  999 999 999 999 999   0   0   0   0
1960   4  999 999 999 999 999   0   0   0   0
1961   4  999 999 999 999 999   0   0   0   0
1962   4   84  84  85  85  84   0   0   0   0
1963   4  999 999 999 999 999   0   0   0   0
1964   4  999 999 999 999 999   0   0   0   0
1965   4  999 999 999 999 999   0   0   0   0
1966   4   92  93  94  95  95   0   0   0   0
1967   4   94  94  95  96  97   0   0   0   0
1968   4  999 999 999 999 999   0   0   0   0
1969   4  104 103 102  99  99   0   0   0   0
1970   4   95  94  93  92  91   0   0   0   0
1971   4   91  92  92  93  94   0   0   0   0
1972   4  999 999 999 999 999   0   0   0   0
1973   4  999 999 999 999 999   0   0   0   0
1974   4  999 999 999 999 999   0   0   0   0
1975   4  999 999 999 999 999   0   0   0   0
1976   4  103 103 102 101 101   0   0   0   0
1977   4  999 999 999 999 999   0   0   0   0
1978   4   96  95  94  93  94   0   0   0   0
1979   4   95  94  94  93  93   0   0   0   0
1980   4   94  94  93  92  92   0   0   0   0
1981   4  999 999 999 999 999   0   0   0   0
1982   4  999 999 999 999 999   0   0   0   0
1983   4  999 999 999 999 999   0   0   0   0
1984   4  999 999 999 999 999   0   0   0   0
1985   4  999 999 999 999 999   0   0   0   0
1986   4  999 999 999 999 999   0   0   0   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4  999 999 999 999 999   0   0   0   0
1989   4  999 999 999 999 999   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4  999 999 999 999 999   0   0   0   0
1995   4  999 999 999 999 999   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2000   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2002   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2007   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4   87  86  86  85  84   0   0   0   0
