Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1949   4   49  49  49  49  49   0   0   0   0
1950   6   46  47  48  48  49  49  49   0   0   0   0   0   0
1951   6  999 999 999 999 999 999 999   0   0   0   0   0   0
1952   6   48  48  47  46  46  46  46   0   0   0   0   0   0
1953   6  999 999 999 999 999 999 999   0   0   0   0   0   0
1954   6  999 999 999 999 999 999 999   0   0   0   0   0   0
1955   6  999 999 999 999 999 999 999   0   0   0   0   0   0
1956   4  999 999 999 999 999   0   0   0   0
1957   4  999 999 999 999 999   0   0   0   0
1958   4  999 999 999 999 999   0   0   0   0
1959   4  999 999 999 999 999   0   0   0   0
1960   4  999 999 999 999 999   0   0   0   0
1961   4  999 999 999 999 999   0   0   0   0
1962   4  999 999 999 999 999   0   0   0   0
1964   4  999 999 999 999 999   0   0   0   0
1965   4  999 999 999 999 999   0   0   0   0
1966   4  999 999 999 999 999   0   0   0   0
1967   4  999 999 999 999 999   0   0   0   0
1968   4  999 999 999 999 999   0   0   0   0
1969   4  999 999 999 999 999   0   0   0   0
1970   4  999 999 999 999 999   0   0   0   0
1971   4  999 999 999 999 999   0   0   0   0
1972   4  999 999 999 999 999   0   0   0   0
1973   4   48  50  51  51  51   0   0   0   0
1974   4  999 999 999 999 999   0   0   0   0
1975   4  999 999 999 999 999   0   0   0   0
1976   4  999 999 999 999 999   0   0   0   0
1978   4  999 999 999 999 999   0   0   0   0
1979   4  999 999 999 999 999   0   0   0   0
1980   4  999 999 999 999 999   0   0   0   0
1981   4  999 999 999 999 999   0   0   0   0
1982   4  999 999 999 999 999   0   0   0   0
1983   4  999 999 999 999 999   0   0   0   0
1984   4   62  60  60  59  58   0   0   0   0
1985   4   58  57  56  55  54   0   0   0   0
1986   4   54  56  58  58  60   0   0   0   0
1987   4   60  57  56  55  54   0   0   0   0
1988   4   54  55  55  61  61   0   0   0   0
1989   4   61  63  63  63  63   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4  999 999 999 999 999   0   0   0   0
1995   4  999 999 999 999 999   0   0   0   0
1996   4   77  76  74  72  71   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2008   4   72  72  72  71  71   0   0   0   0
2009   4   68  68  69  71  71   0   0   0   0
2010   4   66  66  66  66  64   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4   73  72  73  73  73   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2015   4   68  67  67  66  65   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4   64  64  63  63  62   0   0   0   0
2018   4   62  62  62  62  62   0  -1  -1  -1
