Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1948   6   73  73  73  72  71  71  71   0   0   0   0   0   0
1949   6   70  71  71  72  73  73  73   0   0   0   0   0   0
1950   6   72  73  74  75  75  74  73   0   0   0   0   0   0
1951   6   73  73  74  75  76  75  75   0   0   0   0   0   0
1952   6   75  75  75  76  77  78  78   0   0   0   0   0   0
1953   6   75  75  74  73  72  71  70   0   0   0   0   0   0
1954   4   70  71  72  73  73   0   0   0   0
1955   4   70  71  72  73  78   0   0   0   0
1956   4  999 999 999 999 999   0   0   0   0
1957   4   81  82  83  83  83   0   0   0   0
1958   4  999 999 999 999 999   0   0   0   0
1959   4  999 999 999 999 999   0   0   0   0
1960   4  999 999 999 999 999   0   0   0   0
1961   4  999 999 999 999 999   0   0   0   0
1962   4  999 999 999 999 999   0   0   0   0
1963   4  999 999 999 999 999   0   0   0   0
1964   4  999 999 999 999 999   0   0   0   0
1965   4  999 999 999 999 999   0   0   0   0
1966   4  999 999 999 999 999   0   0   0   0
1967   4  101 101 102 102 103   0   0   0   0
1968   4   91  92  92  93  94   0   0   0   0
1969   4   92  93  94  95  96   0   0   0   0
1970   4   92  89  88  87  85   0   0   0   0
1971   4   85  85  85  84  83   0   0   0   0
1972   4   83  83  84  84  85   0   0   0   0
1973   4   84  85  86  87  88   0   0   0   0
1974   4   84  85  86  87  88   0   0   0   0
1975   4   87  88  89  90  90   0   0   0   0
1976   4   90  90  90  91  92   0   0   0   0
1977   4   92  92  95  94  94   0   0   0   0
1978   4  999 999 999 999 999   0   0   0   0
1979   4  999 999 999 999 999   0   0   0   0
1980   4   92  93  94  95  96   0   0   0   0
1981   4  108 108 108 109 109   0   0   0   0
1982   4  999 999 999 999 999   0   0   0   0
1983   4  102 102 105 106 107   0   0   0   0
1984   4  999 999 999 999 999   0   0   0   0
1985   4  999 999 999 999 999   0   0   0   0
1986   4  999 999 999 999 999   0   0   0   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4  999 999 999 999 999   0   0   0   0
1989   4  999 999 999 999 999   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4  999 999 999 999 999   0   0   0   0
1995   4  999 999 999 999 999   0   0   0   0
1996   4   96  95  95  94  95   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4   94  93  92  95  94   0   0   0   0
2000   4   87  87  87  86  86  -1  -1   0   0
2001   4   83  83  83  83  82   0   0   0   0
2002   4   77  77  77  76  75   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4   79  78  70  69  69   0   0   0   0
2006   4   67  68  68  67  67   0   0   0   0
2007   4  999 999 999 999 999   0   0   0   0
2008   4   84  84  85  85  84   0   0   0   0
2009   4   74  73  73  74  74   0   0   0   0
2010   4   71  71  72  73  73   0   0   0   0
2011   4   69  70  70  70  69   0   0   0   0
2012   4   68  69  70  71  72   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4  999 999 999 999 999   0   0   0   0
2015   4   91  91  90  89  88   0   0   0   0
2016   4   81  80  79  79  80   0   0   0   0
2017   4   78  73  72  72  73   0   0   0   0
2018   4   71  72  73  74  75   0   0   0   0
