Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1983   4   46  47  48  49  48   0   0   0   0
1984   4   42  42  41  41  40   0   0   0   0
1985   4   40  43  42  43  44   0   0   0   0
1986   4  999 999 999 999 999   0   0   0   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4   61  60  59  58  57   0   0   0   0
1989   4  999 999 999 999 999   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4   58  58  58  59  60   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4  999 999 999 999 999   0   0   0   0
1995   4  999 999 999 999 999   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4   59  59  60  61  61   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2000   4  999 999 999 999 999   0   0   0   0
2001   4   70  71  71  72  71   0   0   0   0
2002   4  999 999 999 999 999   0   0   0   0
2003   4   69  68  69  68  67   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4   67  68  69  70  71   0   0   0   0
2007   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4   72  71  71  71  70   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4   72  72  71  68  67   0   0   0   0
2014   4   62  62  63  64  65   0   0   0   0
2015   4   64  65  65  65  64   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4   76  76  75  74  73   0   0   0   0
2018   4   68  69  69  69  69   0   0   0   0
2019   4   65  64  64  64  63   0   0   0   0
