Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1981   4   71  71  71  73  72   0   0   0   0
1982   4   79  84  83  81  81   0   0   0   0
1983   4   78  80  80  80  81   0   1   0   0
1984   4   65  64  63  62  61   0   0   0   0
1985   4   61  60  59  58  57   0   0   0   0
1986   4   57  58  57  57  56   0   0  -1   0
1987   4   56  55  55  54  53   0   0   0   0
1988   4   53  52  50  50  50   0   0   0   0
1989   4   50  50  51  51  51   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4   51  50  48  47  46   0   0   0   0
1992   4   47  48  47  46  47   0   0   0   0
1993   4   46  46  47  48  47   1   0   0   0
1994   4   48  46  46  46  46   0  -1  -1  -1
1995   4  999 999 999 999 999   0   0   0   0
1996   4   45  44  43  45  46   0   0   0   0
1997   4   46  45  43  44  43   0   0   0   0
1998   4   44  43  42  43  43   0   0   0  -1
1999   4   42  44  44  45  45   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4   53  52  52  52  52   0   0   1   0
2005   4   52  51  50  49  49   0   0   0   0
2006   4   49  49  50  49  48   0   0   0   0
2008   4   46  45  46  45  45   0   0   0   1
2009   4   45  45  44  44  44   0   0   0   0
2010   4   44  44  44  43  42  -1   0   0   0
2011   4   42  42  42  43  43   0   0   0   0
2012   4   43  44  47  49  49   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2015   4   70  68  68  67  66   0   0   0   0
2016   4   63  63  62  60  59   0   0   0   0
2017   4   57  56  55  55  55   0   0   0   0
2018   4   57  57  57  57  57   0  -1  -1  -1
2019   4   56  57  56  55  56   0   0   0   0
