Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1981   4   85  85  85  85  85   0   0   0   0
1982   4   83  84  85  86  87   0   0   0   0
1983   4  104 103 104 104 103   0   0   0   0
1984   4   95  96  97  97  98   0   0   0   0
1985   4   93  92  91  90  89   0   0   0   0
1986   4  999 999 999 999 999   0   0   0   0
1987   4  100 100  99  98  97   0   0   0   0
1988   4   92  91  90  89  88   0   0   0   0
1989   4   85  84  83  82  82   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4   89  89  89  89  89   0  -1  -1   0
1994   4  999 999 999 999 999   0   0   0   0
1995   4  999 999 999 999 999   0   0   0   0
1996   4   89  89  90  90  89   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4   91  92  92  92  92   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2000   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2002   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4   78  79  80  81  82   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2007   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4   92  92  92  92  92   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4   86  89  90  90  91   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4   89  90  91  91  90   0   0   0   0
2019   4   79  82  83  84  84   0   0   0   0
