Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1947   6   66  65  65  64  64  63  62   0   0   0   0   0   0
1948   6   62  60  59  58  58  57  57   0   0   0   0   0   0
1949   6   57  56  55  54  53  52  51   0   0   0   0   0   0
1950   6   51  50  49  49  50  51  52   0   0   0   0   0   0
1951   6   52  51  50  50  51  51  51   0   0   0   0   0   0
1952   6   51  50  50  51  51  51  52   0   0   0   0   0   0
1953   6   52  51  51  51  50  48  47   0   0   0   0   0   0
1954   4   47  48  48  48  47   0   0   0   0
1955   4   47  47  48  49  49   0   0   0   0
1956   4   49  50  51  52  52   0   0   0   0
1957   4   52  52  52  51  51   0   0   0   0
1958   4   51  51  50  49  49   0   0   0   0
1959   4   49  50  50  50  51   0   0   0   0
1960   4   51  52  53  54  55   0   0   0   0
1961   4   55  56  56  57  57   0   0   0   0
1962   4   57  55  54  53  53   0   0   0   0
1963   4   53  52  51  50  49   0   0   0   0
1964   4   49  48  47  46  45   0   0   0   0
1965   4   45  44  43  43  42   0   0   0   0
1966   4   42  43  43  42  41   0   0   0   0
1967   4   41  41  42  42  43   0   0   0   0
1968   4   43  44  45  45  44   0   0   0   0
1969   4   44  45  45  46  47   0   0   0   0
1970   4   47  48  49  50  51   0   0   0   0
1971   4   51  50  50  51  52   0   0   0   0
1972   4   52  51  52  53  54   0   0   0   0
1973   4   55  55  56  57  58   0   0   0   0
1974   4   59  60  61  62  63   0   0   0   0
1975   4   63  64  65  65  64   0   0   0   0
1976   4   64  65  65  65  66   0   0   0   0
1977   4   66  66  65  64  63   0   0   0   0
1978   4   63  64  64  65  66   0   0   0   0
1979   4   66  65  64  63  62   0   0   0   0
1980   4   62  61  61  62  62   0   0   0   0
1981   4   62  61  61  60  61   0   0   0   0
1982   4   61  60  61  61  61   0   0   0   0
1983   4   61  61  62  61  60   0   0   0   0
1984   4   60  60  61  61  62   0   0   0   0
1985   4   62  61  60  59  58   0   0   0   0
1986   4   59  58  57  57  58   0   0   0   0
1987   4   58  59  60  61  61   0   0   0   0
1988   4   61  62  63  64  65   0   0   0   0
1989   4   65  66  66  67  68   0   0   0   0
1990   4   67  66  66  67  68   0   0   0   0
1991   4   69  68  68  67  67   0   0   0   0
1992   4   67  68  69  72  73   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4   89  86  84  83  83   0   0   0   0
1995   4   79  80  80  80  81   0   0   0   0
1996   4   80  81  80  77  76   0   0   0   0
1997   4   76  75  76  77  78   0   0   0   0
1998   4   74  73  72  69  68   0   0   0   0
1999   4   67  70  69  72  71   0   0   0   0
2000   4   72  72  72  71  70  -1   0   0   0
2001   4   67  66  65  64  63   0   0   0   0
2002   4   64  63  62  60  59   0   0   0   0
2003   4   59  60  61  62  63   0   0   0   0
2004   4   82  81  81  80  79   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2007   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4   77  76  76  75  75   0   0   0   0
2010   4   72  72  71  71  72   0   0   0   0
2011   4   68  68  69  69  70   0   0   0   0
2012   4   69  68  68  69  70   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4   87  88  88  89  89   0   0   0   0
2017   4   85  86  86  87  88   0   0   0   0
2018   4   83  84  85  86  86   0   0   0   0
2019   4   75  75  74  73  72   0   0   0   0
