Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1958   4   53  53  52  51  50   0   0   0   0
1959   4   48  49  49  50  51   0   0   0   0
1960   4   40  39  39  40  41   0   0   0   0
1961   4   50  51  51  50  50   0   0   0   0
1962   4   48  49  50  51  51   0   0   0   0
1964   4  999 999 999 999 999   0   0   0   0
1965   4  999 999 999 999 999   0   0   0   0
1966   4   41  41  42  42  39   0   0   0   0
1967   4   38  38  38  39  40   0   0   0   0
1968   4   40  42  41  40  38   0   1   0   0
1969   4   38  36  36  37  38   0   0   0   0
1970   4   37  37  37  37  38   1   0   0   0
1971   4   37  39  40  40  41   0   0   0   0
1972   4   41  40  42  42  43   0   0   1   0
1973   4   39  40  42  42  42   0   0   1   0
1974   4  999 999 999 999 999   0   0   0   0
1975   4  999 999 999 999 999   0   0   0   0
1976   4  999 999 999 999 999   0   0   0   0
1978   4  999 999 999 999 999   0   0   0   0
1979   4   65  66  66  66  65   0   0   0   0
1980   4   64  62  62  61  60   0   0   0   0
1981   4   59  58  60  61  63   0   0   0   0
1982   4   80  79  80  79  78   0   0   0   0
1983   4  999 999 999 999 999   0   0   0   0
1984   4   84  85  85  84  83   0   0   0   0
1985   4   76  77  78  81  82   0   1   0   0
1986   4   76  77  79  79  85   0   0  -1   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4   76  75  76  75  75   0   1   0   0
1989   4   72  71  70  69  68   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4   66  66  73  77  79   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4   85  84  84  84  84   0  -1  -1  -1
1995   4  999 999 999 999 999   0   0   0   0
1996   4   72  73  73  76  79   0   0   0   0
1997   4   71  71  71  71  70   1   1   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4   62  60  59  58  58   0   0   0  -1
2004   4   60  60  61  61  61   1   0   0   0
2005   4   60  60  60  61  64   1   1   0   0
2006   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4   72  72  72  73  72  -1  -1   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4  999 999 999 999 999   0   0   0   0
2019   4   67  67  66  65  63   0   0   0   0
2021   4   52  52  55  60  62   1   0   0   0
