Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1950   6   82  83  84  84  83  82  82   0   0   0   0   0   0
1951   6   81  81  81  82  82  81  81   0   0   0   0   0   0
1952   6  999 999 999 999 999 999 999   0   0   0   0   0   0
1953   6  999 999 999 999 999 999 999   0   0   0   0   0   0
1954   4  999 999 999 999 999   0   0   0   0
1955   4  999 999 999 999 999   0   0   0   0
1956   4  999 999 999 999 999   0   0   0   0
1957   4  999 999 999 999 999   0   0   0   0
1958   4  999 999 999 999 999   0   0   0   0
1959   4  999 999 999 999 999   0   0   0   0
1960   4   80  79  78  78  77   0   0   0   0
1961   4  999 999 999 999 999   0   0   0   0
1962   4  999 999 999 999 999   0   0   0   0
1963   4  999 999 999 999 999   0   0   0   0
1964   4  999 999 999 999 999   0   0   0   0
1965   4  999 999 999 999 999   0   0   0   0
1966   4  999 999 999 999 999   0   0   0   0
1967   4  100  99  96  97  96   0   0   0   0
1968   4  999 999 999 999 999   0   0   0   0
1969   4   99 102 103 103 103   0   0   0   0
1970   4   99  98  98  99 100   0   0   0   0
1971   4   97  98  99 100 101   0   0   0   0
1972   4   99 100 101 102 103   0   0   0   0
1973   4  100 100  99  98  97   0   0   0   0
1974   4   94  94  93  93  93   0   0   0   0
1975   4   91  91  92  93  94   0   0   0   0
1976   4   94  95  95  96  97   0   0   0   0
1977   4  106 105 104 104 103   0   0   0   0
1978   4  999 999 999 999 999   0   0   0   0
1979   4  111 110 109 108 108   0   0   0   0
1980   4  115 116 116 116 116   0   0   0   0
1981   4  999 999 999 999 999   0   0   0   0
1982   4   80  80  80  79  79   0   0   0   0
1983   4  999 999 999 999 999   0   0   0   0
1984   4  999 999 999 999 999   0   0   0   0
1985   4  999 999 999 999 999   0   0   0   0
1986   4  999 999 999 999 999   0   0   0   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4  999 999 999 999 999   0   0   0   0
1989   4  999 999 999 999 999   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4  999 999 999 999 999   0   0   0   0
1995   4   96  94  93  92  91   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2000   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2002   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2007   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4   84  84  84  83  82   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4  999 999 999 999 999   0   0   0   0
2019   4   87  87  86  85  85   0   0   0   0
