Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1984   4   43  43  43  42  42   0   0   0   0
1985   4  999 999 999 999 999   0   0   0   0
1986   4  999 999 999 999 999   0   0   0   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4   59  59  60  60  59   0   0   0   0
1989   4  999 999 999 999 999   0   0   0   0
1990   4   61  61  60  60  60   0   0   0   0
1991   4   52  53  53  54  54   0   0   0   0
1992   4   51  50  49  48  47   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4   58  58  58  59  58   0   0   0   0
1995   4   51  50  49  48  47   0   0   0   0
1996   4   46  45  48  47  47   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2000   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2002   4   73  73  73  73  73   0   0   0   0
2003   4   64  63  62  62  63   0   0   0   0
2004   4   57  58  59  60  61   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2007   4   64  64  63  62  60   0   0   0   0
2008   4   60  59  59  60  61   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4   70  70  71  72  73   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4   71  71  70  71  71   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4   74  73  73  74  75   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4   72  71  70  70  71   0   0   0   0
2019   4   66  66  65  66  65   0   0   0   0
