Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1950   6   49  50  50  50  50  50  50   0   0   0   0   0   0
1951   6   46  45  45  45  45  45  45   0   0   0   0   0   0
1952   6   43  44  44  45  45  45  45   0   0   0   0   0   0
1953   6   44  44  45  46  46  45  45   0   0   0   0   0   0
1954   6  999 999 999 999 999 999 999   0   0   0   0   0   0
1955   6  999 999 999 999 999 999 999   0   0   0   0   0   0
1956   4   50  50  49  48  47   0   0   0   0
1957   4   47  48  49  50  50   0   0   0   0
1958   4  999 999 999 999 999   0   0   0   0
1959   4  999 999 999 999 999   0   0   0   0
1960   4  999 999 999 999 999   0   0   0   0
1961   4  999 999 999 999 999   0   0   0   0
1962   4  999 999 999 999 999   0   0   0   0
1964   4  999 999 999 999 999   0   0   0   0
1965   4  999 999 999 999 999   0   0   0   0
1966   4  999 999 999 999 999   0   0   0   0
1967   4   47  44  44  42  38   0   0   0   0
1968   4   38  40  43  43  44   0   0   1   0
1969   4  999 999 999 999 999   0   0   0   0
1970   4   51  49  48  46  47   0   1   0   0
1971   4   44  49  49  48  49   0   1   0   0
1972   4   49  48  47  47  47   0   0   0   0
1973   4   42  41  38  37  37   0   0   0   0
1974   4   37  39  38  40  41   0   0   0   0
1975   4   41  38  36  35  35   0   0   0   0
1976   4   35  34  33  33  33   0   0   0   0
1978   4   33  33  34  33  38   1   0   1   0
1979   4   38  37  38  38  37   0   0   0   0
1980   4   37  36  35  34  33   0   0   0   0
1981   4   33  33  34  33  32   0   0   0   0
1982   4   32  31  31  33  34   0   0   0   0
1983   4   34  33  32  32  31   0   0   0   0
1984   4   31  33  33  31  30   0   0   0   0
1985   4   30  29  30  30  30   0   0   1   0
1986   4   30  29  28  28  27   0   0  -1   0
1987   4   27  27  27  27  28   0   0   0   0
1988   4   28  28  28  27  27   1   0   0   0
1989   4   27  28  28  30  32   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4   32  33  34  33  35   0   0   0   0
1992   4   36  35  34  33  32   0   0   0   0
1993   4   32  32  32  31  30   0   0   0   0
1994   4   30  30  30  30  30   0  -1  -1  -1
1995   4  999 999 999 999 999   0   0   0   0
1996   4   29  29  30  32  34   1   0   0   0
1997   4   34  33  32  31  32   0   0   0   0
1998   4   32  33  37  39  39   0   0   0  -1
1999   4   38  39  38  37  36   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4   42  45  49  53  57   1   0   0   0
2005   4   57  61  66  73  73   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4   69  71  73  72  71   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4   73  71  71  71  71   0  -1  -1  -1
2019   4  999 999 999 999 999   0   0   0   0
2021   4  999 999 999 999 999   0   0   0   0
2022   4   71  70  69  68  67   0   0   0   0
