Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1987   4   46  45  43  42  42   0   0   0   0
1988   4   41  40  39  38  35   0   0   0   0
1989   4   35  34  33  32  31   0   0   0   0
1991   4   31  34  36  37  36   0   0   0   0
1992   4   36  35  34  34  34   0   0   1   1
1993   4   34  33  32  32  31   0   0   0   0
1994   4   31  30  30  30  30   0  -1  -1  -1
1995   4  999 999 999 999 999   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4  999 999 999 999 999   0   0   0   0
2019   4  999 999 999 999 999   0   0   0   0
2021   4   62  61  60  58  57   0   0   0   0
2022   4   54  54  53  53  52   0   0   0   0
