Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
2005   4   71  70  69  68  68   0   0   0   0
2006   4   64  65  65  66  67   0   0   0   0
2007   4   62  63  64  65  65   0   0   0   0
2008   4   65  66  67  68  69   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4   77  78  79  79  79   0   0   0   0
2017   4   69  69  70  71  72   0   0   0   0
2018   4   67  70  71  72  73   0   0   0   0
