Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1983   4   82  83  83  82  82   0   0   0   0
1984   4   90  89  90  90  90   0   0   0   0
1985   4   87  86  86  85  86   0   0   0   0
1986   4   85  86  86  86  87   0   0   0   0
1987   4   83  83  83  83  84   0   0   0   0
1988   4   81  82  82  81  80   0   0   0   0
1989   4   79  79  78  77  76   0   0   0   0
1990   4   75  76  77  78  79   0   0   0   0
1991   4   81  82  82  82  82   0   0   0   0
1992   4   78  77  76  76  75   0   0   0   0
1993   4   74  75  75  75  76   0  -1  -1   0
1994   4   75  76  76  76  75   0   0   0   0
1995   4   74  72  71  70  69   0   0   0   0
1996   4   70  71  72  73  73   0   0   0   0
1997   4   73  72  72  72  72   0   0   0   0
1998   4   69  68  68  67  66   0   0   0   0
1999   4   66  65  64  63  63   0   0   0   0
2000   4   64  64  63  63  62  -1   0   0   0
2001   4   61  60  59  58  58   0   0   0   0
2002   4   59  59  60  61  62   0   0   0   0
2003   4   62  61  60  61  61   0   0   0   0
2004   4   61  62  63  63  62   0   0   0   0
2005   4   62  62  61  60  59   0   0   0   0
2006   4   59  58  59  60  61   0   0   0   0
2007   4   61  60  59  58  57   0   0   0   0
2008   4   56  56  55  54  55   0   0   0   0
2009   4   56  56  57  57  58   0   0   0   0
2010   4   58  59  59  60  60   0   0   0   0
2011   4   60  59  58  57  56   0   0   0   0
2012   4   56  57  58  59  60   0   0   0   0
2013   4   61  58  59  60  60   0   0   0   0
2014   4   59  59  58  58  59   0   0   0   0
2015   4   60  61  62  63  64   0   0   0   0
2016   4   63  64  64  65  66   0   0   0   0
2017   4   67  68  69  70  69   0   0   0   0
2018   4  999 999 999 999 999   0   0   0   0
2019   4   90  88  88  87  86   0   0   0   0
