Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1983   4   76  77  76  76  78   0   0   0   0
1984   4   67  68  69  71  71   0   0   0   0
1985   4   70  70  72  70  71   1   0   0   0
1986   4  999 999 999 999 999   0   0   0   0
1987   4   83  84  84  84  84   0   0   0   0
1988   4   74  72  70  69  68   0   0   0   0
1989   4   66  65  64  62  61   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4   62  62  60  59  58   0   0   0   0
1992   4   58  59  58  59  61   0   0   0   0
1993   4   60  59  60  59  59   0   0   0   1
1994   4   60  59  59  59  59   1  -1  -1  -1
1995   4  999 999 999 999 999   0   0   0   0
1996   4   58  57  55  54  53   0   0   0   0
1997   4   53  51  50  49  48   0   0   0   0
1998   4   49  46  46  46  46   0   1   0  -1
1999   4   45  45  47  48  49   0   0   0   0
2001   4   43  43  43  42  41  -1   0   0   0
2003   4   44  46  45  44  44   0   0   0  -1
2004   4   45  44  44  46  48   1   0   0   0
2005   4   48  49  51  51  52   0   0   0   0
2006   4   52  51  51  56  58   0   0   0   0
2008   4   56  54  54  53  52   0   0   0   0
2009   4   52  57  56  55  54   0   0   0   0
2010   4   54  54  53  54  54  -1   0   0   0
2011   4   54  53  51  50  48   0   0   0   0
2012   4   48  48  49  50  50   1   0   0   0
2013   4   49  61  62  60  60   0   0   0   1
2015   4   58  58  58  59  61   1   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4  999 999 999 999 999   0   0   0   0
2019   4   70  71  71  72  72   0   1   0   0
