Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1981   4   34  34  34  34  33   0   0   0   0
1982   4   34  35  36  37  36   0   0   0   0
1983   4   36  37  37  37  37   0   0   0   0
1984   4  999 999 999 999 999   0   0   0   0
1985   4  999 999 999 999 999   0   0   0   0
1986   4  999 999 999 999 999   0   0   0   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4  999 999 999 999 999   0   0   0   0
1989   4   48  46  47  48  48   0   0   0   0
1991   4   45  43  42  41  40   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4   49  49  49  49  49   0   0   0   0
1995   4   49  49  49  49  49   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4   57  57  54  54  54   0   0   0   0
1999   4   46  46  46  46  45   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4   57  58  58  57  56   0   0   0   0
2006   4   52  51  50  50  50   0   0   0   0
2008   4   41  40  40  39  39   0   0   0   0
2009   4   40  40  41  44  46   0   0   0   0
2010   4   47  47  47  46  45   0   0   0   0
2011   4   44  45  44  43  45   0   0   0   0
2012   4   44  44  43  43  43   0   0   0   0
2013   4   42  41  40  39  39   0   0   0   0
2015   4   39  46  49  61  61   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4   55  54  52  51  51   0   0   0   0
2018   4   49  54  54  54  54   0  -1  -1  -1
