Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1978   4   66  64  64  63  62   0   0   0   0
1979   4  999 999 999 999 999   0   0   0   0
1980   4  999 999 999 999 999   0   0   0   0
1981   4  999 999 999 999 999   0   0   0   0
1982   4   70  69  69  68  69   0   0   0   0
1983   4   73  73  74  72  70   0   0   0   0
1984   4   66  66  66  65  65   0   0   0   0
1985   4   64  63  62  61  60   0   0   0   0
1986   4   60  61  61  61  62   0   0  -1   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4  999 999 999 999 999   0   0   0   0
1989   4  999 999 999 999 999   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4   61  60  59  60  58   0   0   0   0
1994   4   59  56  56  56  56   0  -1  -1  -1
1995   4  999 999 999 999 999   0   0   0   0
1996   4   56  56  56  55  54   0   1   0   0
1997   4   54  54  53  52  51   1   0   0   0
1998   4   52  54  55  56  56   0   0   0  -1
1999   4   55  57  56  57  56   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4   57  61  60  59  59   0   0   0  -1
2004   4   61  59  58  57  55   0   0   0   0
2005   4   55  54  53  52  51   0   0   0   0
2006   4   51  50  48  46  45   0   0   0   0
2008   4   49  48  47  47  47   0   0   1   0
2009   4   47  49  54  57  60   0   0   0   1
2010   4   59  59  59  58  58  -1  -1   0   0
2011   4   58  57  60  60  60   0   1   1   0
2012   4   60  61  62  63  62   0   0   1   0
2013   4   61  73  72  72  72   0   0   0   0
2015   4   63  64  65  64  63   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4   65  67  70  70  70   0   0   1   0
2018   4   66  65  65  65  65   0  -1  -1  -1
2019   4   62  59  58  56  55   0   0   0   0
2021   4   48  43  41  40  39   0   0   0   0
2022   4   44  45  45  44  43   0   0   0   0
