Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1996   4   48  47  47  49  48   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4   55  54  52  51  50   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4  999 999 999 999 999   0   0   0   0
2019   4  999 999 999 999 999   0   0   0   0
2021   4   60  63  64  64  63   0   0   0   0
