Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1953   6   80  79  79  78  78  77  76   0   0   0   0   0   0
1954   4  999 999 999 999 999   0   0   0   0
1955   4   83  83  83  84  84   0   0   0   0
1956   4   79  79  78  78  79   0   0   0   0
1957   4   76  75  74  74  75   0   0   0   0
1958   4   73  73  74  73  72   0   0   0   0
1959   4  999 999 999 999 999   0   0   0   0
1960   4   79  80  81  82  83   0   0   0   0
1961   4   74  73  72  72  71   0   0   0   0
1962   4   71  70  69  69  69   0   0   0   0
1963   4   68  67  66  65  64   0   0   0   0
1964   4   64  63  62  60  59   0   0   0   0
1965   4   59  56  57  57  56   0   0   0   0
1966   4   55  54  53  52  51   0   0   0   0
1967   4   51  50  46  47  47   0   0   0   0
1968   4   47  47  48  49  50   0   0   0   0
1969   4   50  51  56  57  58   0   0   0   0
1970   4   58  61  61  62  63   0   0   0   0
1971   4   63  62  60  59  59   0   0   0   0
1972   4   59  60  61  62  63   0   0   0   0
1973   4   64  64  60  61  61   0   0   0   0
1974   4   62  62  62  61  61   0   0   0   0
1975   4   61  62  63  64  65   0   0   0   0
1976   4   65  64  64  63  62   0   0   0   0
1977   4   62  61  60  60  59   0   0   0   0
1978   4   59  60  61  62  62   0   0   0   0
1979   4   62  62  62  61  61   0   0   0   0
1980   4   61  62  63  63  64   0   0   0   0
1981   4   64  65  66  66  67   0   0   0   0
1982   4   67  68  68  69  70   0   0   0   0
1983   4   70  71  72  73  74   0   0   0   0
1984   4  108 107 106 105 104   0   0   0   0
1985   4   96  95  94  94  93   0   0   0   0
1986   4   91  91  92  93  93   0   0   0   0
1987   4   89  90  90  91  92   0   0   0   0
1988   4   88  88  89  90  90   0   0   0   0
1989   4   87  88  89  90  88   0   0   0   0
1990   4   84  85  86  87  88   0   0   0   0
1991   4   86  87  88  88  87   0   0   0   0
1992   4   83  84  85  85  86   0   0   0   0
1993   4   82  81  81  81  80   0  -1  -1   0
1994   4   79  79  79  80  80   0   0   0   0
1995   4   78  78  78  78  77   0   0   0   0
1996   4   76  77  78  79  80   0   0   0   0
1997   4   80  81  81  81  80   0   0   0   0
1998   4   76  77  78  79  82   0   0   0   0
1999   4   80  81  81  82  82   0   0   0   0
2000   4   81  81  82  83  84  -1   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2002   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2007   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4  999 999 999 999 999   0   0   0   0
2015   4  999 999 999 999 999   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4  999 999 999 999 999   0   0   0   0
2019   4   81  80  79  79  78   0   0   0   0
