Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1981   4   37  37  37  36  37   0   0   0   0
1982   4   29  29  29  28  27   0   0   0   0
1983   4   28  28  28  29  29   0   0   0   0
1984   4   26  27  28  29  30   0   0   0   0
1985   4   30  30  29  30  30   0   0   0   0
1986   4   30  30  30  29  28   0   0   0   0
1987   4   28  28  28  27  26   0   0   0   0
1988   4   26  27  27  28  29   0   0   0   0
1989   4   29  32  33  33  34   0   0   0   0
1990   4   34  35  36  37  38   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4  999 999 999 999 999   0   0   0   0
1995   4  999 999 999 999 999   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2000   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2002   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2007   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4   76  75  74  73  72   0   0   0   0
2015   4   68  69  68  68  69   0   0   0   0
2016   4   65  66  67  68  69   0   0   0   0
2017   4  999 999 999 999 999   0   0   0   0
2018   4   79  79  78  77  76   0   0   0   0
