Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1978   4    8   9   9  10  10   1   0   0   0
1979   4  999 999 999 999 999   0   0   0   0
1980   4   18  17  15  14  12   0   0   0   0
1981   4   12  13  16  17  18   0   0   0   0
1982   4   18  19  20  19  19   0   0   0   0
1983   4   19  21  24  25  26   0   0   0   0
1984   4   36  36  35  35  35   0   0   0   0
1985   4   32  31  31  31  29   0   0   0   0
1986   4   28  28  27  27  26   0   0  -1   0
1987   4   26  27  27  27  27   0   0   0   0
1988   4   27  27  26  24  23   0   0   0   0
1989   4   23  22  21  20  19   0   0   0   0
1991   4   19  25  24  23  22   0   0   0   0
1992   4   22  22  22  22  24   1   0   0   0
1993   4   24  24  24  24  23   1   1   0   0
1994   4   23  22  22  22  22   0  -1  -1  -1
1995   4  999 999 999 999 999   0   0   0   0
1996   4   22  25  26  27  29   0   0   0   0
1997   4   29  29  32  35  37   0   0   0   0
1998   4   38  44  43  42  42   0   0   0  -1
1999   4   38  38  38  38  37  -1  -1  -1   0
2001   4   30  30  30  30  30  -1   0   0   0
2003   4   35  34  37  38  38   0   0   0  -1
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4   60  60  59  61  60   0   0   0   0
2013   4   52  52  51  50  50   0   0   0   0
2015   4   50  48  47  46  45   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4   45  44  43  42  40   0   0   0   0
2018   4   40  39  39  39  39   0  -1  -1  -1
2019   4   39  38  37  37  38   0   0   0   0
2021   4   34  33  33  34  35   0   0   0   0
2022   4   37  38  37  38  38   0   0   0   0
