Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1978   4   25  24  24  23  23   0   0   0   0
1979   4   25  25  25  25  25   0   0   0   0
1980   4   36  35  34  34  35   0   0   0   0
1981   4   40  40  40  41  42   0   0   0   0
1982   4  999 999 999 999 999   0   0   0   0
1983   4   42  43  43  43  44   0   0   0   0
1984   4  999 999 999 999 999   0   0   0   0
1985   4  999 999 999 999 999   0   0   0   0
1986   4  999 999 999 999 999   0   0   0   0
1987   4   58  59  58  57  56   0   0   0   0
1988   4   49  49  48  48  47   0   0   0   0
1989   4   46  47  48  49  49   0   0   0   0
1990   4   47  48  45  44  43   0   0   0   0
1991   4   41  41  40  39  38   0   0   0   0
1992   4   38  37  38  39  40   0   0   0   0
1993   4   40  41  41  41  42   0  -1  -1   0
1994   4   41  41  40  40  40   0   0   0   0
1995   4  999 999 999 999 999   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2000   4  999 999 999 999 999   0   0   0   0
2001   4   63  64  64  64  63   0   0   0   0
2002   4   61  60  60  60  61   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2007   4  999 999 999 999 999   0   0   0   0
2008   4  999 999 999 999 999   0   0   0   0
2009   4  999 999 999 999 999   0   0   0   0
2010   4  999 999 999 999 999   0   0   0   0
2011   4  999 999 999 999 999   0   0   0   0
2012   4  999 999 999 999 999   0   0   0   0
2013   4  999 999 999 999 999   0   0   0   0
2014   4  999 999 999 999 999   0   0   0   0
2015   4   74  75  76  77  78   0   0   0   0
2016   4  999 999 999 999 999   0   0   0   0
2017   4   77  78  78  78  77   0   0   0   0
2018   4   71  72  73  74  75   0   0   0   0
