Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1986   4   34  34  37  37  40   0   0  -1   0
1987   4  999 999 999 999 999   0   0   0   0
1988   4   45  44  43  42  41   0   0   0   0
1989   4   40  41  42  42  43   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4  999 999 999 999 999   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4  999 999 999 999 999   0   0   0   0
1995   4  999 999 999 999 999   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4  999 999 999 999 999   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4  999 999 999 999 999   0   0   0   0
2004   4  999 999 999 999 999   0   0   0   0
2005   4  999 999 999 999 999   0   0   0   0
2006   4  999 999 999 999 999   0   0   0   0
2008   4   46  46  45  45  45   1   1   1   0
2009   4   47  46  46  45  44   0   0   0   0
2010   4   45  45  44  43  43  -1   0   0   1
2011   4   42  46  49  48  47   0   0   0   0
2012   4   40  41  41  42  42   0   1   0   0
2013   4   41  43  43  48  49   0   0   0   0
2015   4   49  52  51  50  51   0   0   0   0
2016   4   60  59  61  61  60   0   0   0   0
2017   4   53  52  51  50  47   0   0   0   0
2018   4   47  49  49  49  49   0  -1  -1  -1
2019   4  999 999 999 999 999   0   0   0   0
2021   4   58  58  58  59  64   0   0   1   0
