Year NDay Positions each day    Flags -1=norace, 1=bumped & got bumped
1957   4   51  51  52  53  53   0   0   0   0
1958   4  999 999 999 999 999   0   0   0   0
1959   4  999 999 999 999 999   0   0   0   0
1960   4  999 999 999 999 999   0   0   0   0
1961   4  999 999 999 999 999   0   0   0   0
1962   4  999 999 999 999 999   0   0   0   0
1964   4  999 999 999 999 999   0   0   0   0
1965   4  999 999 999 999 999   0   0   0   0
1966   4  999 999 999 999 999   0   0   0   0
1967   4  999 999 999 999 999   0   0   0   0
1968   4  999 999 999 999 999   0   0   0   0
1969   4   50  46  47  47  47   0   0   0   0
1970   4   45  45  49  48  48   1   0   0   0
1971   4  999 999 999 999 999   0   0   0   0
1972   4  999 999 999 999 999   0   0   0   0
1973   4   50  49  48  46  46   0   0   0   0
1974   4   44  43  41  41  42   0   0   0   0
1975   4   42  47  47  48  49   0   1   0   0
1976   4  999 999 999 999 999   0   0   0   0
1978   4  999 999 999 999 999   0   0   0   0
1979   4  999 999 999 999 999   0   0   0   0
1980   4   82  81  81  80  79   0   0   0   0
1981   4  999 999 999 999 999   0   0   0   0
1982   4  999 999 999 999 999   0   0   0   0
1983   4   61  62  62  59  57   0   0   0   0
1984   4   57  58  59  61  62   0   0   0   0
1985   4   62  62  60  59  59   0   0   0   0
1986   4   59  59  60  60  59   0   0  -1   0
1987   4   59  58  58  56  56   1   0   0   0
1988   4   56  57  61  62  65   0   0   0   0
1989   4   64  64  65  67  66   0   0   0   0
1990   4  999 999 999 999 999   0   0   0   0
1991   4  999 999 999 999 999   0   0   0   0
1992   4   84  84  83  84  84   0   0   0   0
1993   4  999 999 999 999 999   0   0   0   0
1994   4   74  76  76  76  76   0  -1  -1  -1
1995   4  999 999 999 999 999   0   0   0   0
1996   4  999 999 999 999 999   0   0   0   0
1997   4   77  76  75  74  72   0   0   0   0
1998   4  999 999 999 999 999   0   0   0   0
1999   4  999 999 999 999 999   0   0   0   0
2001   4  999 999 999 999 999   0   0   0   0
2003   4   69  68  67  66  66   0   0   0  -1
2004   4   66  68  69  70  72   0   0   1   0
2005   4   65  65  64  63  62   1   0   0   0
2006   4   62  60  58  57  56   0   0   0   0
2008   4   54  53  52  51  50   0   0   0   0
2009   4   50  50  48  48  49   0   0   1   0
2010   4   49  49  50  50  49  -1   0   0   0
2011   4   49  48  49  49  52   0   0   0   0
2012   4   52  53  55  56  56   0   0   0   1
2013   4   55  55  56  56  57   1   0   0   1
2015   4   50  48  48  48  46   0   1   0   0
2016   4   46  45  45  43  43   0   0   0   0
2017   4   42  41  40  40  41   0   0   1   0
2018   4   42  45  45  45  45   0  -1  -1  -1
2019   4   45  46  48  49  51   0   0   0   0
2021   4  999 999 999 999 999   0   0   0   0
2022   4   56  59  61  62  62   0   0   0   1
